id;account_number;balance;currency;status;created_at
1;frantically exce;21151;USD;CLOSED;2026-03-16T20:04:56
2;apropos however;18130.67;USD;SUSPENDED;2026-03-17T13:29:10
3;battle internali;345.68;TND;CLOSED;2026-03-17T05:07:58
4;awXXXXXX;16308.82;TND;ACTIVE;2026-03-17T14:20:06
5;whenever;22101.38;TND;ACTIVE;2026-03-17T13:11:02
6;seemingly obedie;32344.35;USD;ACTIVE;2026-03-16T23:33:25
7;affiliate stupen;21157.22;TND;SUSPENDED;2026-03-16T22:54:13
8;whileXXX;15660.93;TND;CLOSED;2026-03-17T02:55:14
9;march cross if;21891.01;TND;ACTIVE;2026-03-16T20:32:00
10;considering thro;16366.77;USD;SUSPENDED;2026-03-16T18:28:12
